Date,Name,Type
2016-12-25,First Day of Hanukkah,Observance
2016-12-31,New Year's Eve,Observance
2017-01-01,Last day of Hanukkah,Observance
2017-01-05,Guru Govind Singh Jayanti,Restricted Holiday
2017-01-14,Pongal,Restricted Holiday
2017-01-26,Republic Day,Gazetted Holiday
2017-01-28,Lunar New Year,Observance
2017-02-01,Vasant Panchami,Restricted Holiday
2017-02-10,Guru Ravidas Jayanti,Restricted Holiday
2017-02-14,Valentine's Day,Observance
2017-02-19,Shivaji Jayanti,Restricted Holiday
2017-02-21,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2017-02-24,Maha Shivaratri/Shivaratri,Gazetted Holiday
2017-03-12,Holika Dahana,Restricted Holiday
2017-03-13,Holi,Restricted Holiday
2017-03-20,March Equinox,Season
2017-03-28,Chaitra Sukhladi,Restricted Holiday
2017-04-04,Rama Navami,Gazetted Holiday
2017-04-09,Mahavir Jayanti,Gazetted Holiday
2017-04-11,First day of Passover,Observance
2017-04-13,Maundy Thursday,"Observance, Christian"
2017-04-14,Good Friday,Gazetted Holiday
2017-04-15,Mesadi / Vaisakhadi,Restricted Holiday
2017-04-16,Easter Day,Restricted Holiday
2017-05-01,International Worker's Day,Observance
2017-05-09,Birthday of Rabindranath,Restricted Holiday
2017-05-10,Buddha Purnima/Vesak,Gazetted Holiday
2017-05-14,Mothers' Day,Observance
2017-06-18,Fathers' Day,Observance
2017-06-21,June Solstice,Season
2017-06-23,Jamat Ul-Vida,Restricted Holiday
2017-06-25,Rath Yatra,Restricted Holiday
2017-06-26,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2017-07-09,Guru Purnima,Observance
2017-08-06,Friendship Day,Observance
2017-08-07,Raksha Bandhan (Rakhi),Restricted Holiday
2017-08-14,Janmashtami (Smarta),Observance
2017-08-15,Independence Day,Gazetted Holiday
2017-08-17,Parsi New Year,Restricted Holiday
2017-08-25,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2017-09-02,Bakrid/Eid ul-Adha,Gazetted Holiday
2017-09-04,Onam,Restricted Holiday
2017-09-21,First Day of Sharad Navratri,"Observance, Hinduism"
2017-09-23,September Equinox,Season
2017-09-26,First Day of Durga Puja Festivities,"Observance, Hinduism"
2017-09-27,Maha Saptami,Restricted Holiday
2017-09-28,Maha Ashtami,Restricted Holiday
2017-09-29,Maha Navami,Restricted Holiday
2017-09-30,Dussehra,Gazetted Holiday
2017-10-01,Muharram/Ashura,Gazetted Holiday
2017-10-02,Mahatma Gandhi Jayanti,Gazetted Holiday
2017-10-05,Maharishi Valmiki Jayanti,Restricted Holiday
2017-10-08,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2017-10-18,Naraka Chaturdasi,Restricted Holiday
2017-10-19,Diwali/Deepavali,Gazetted Holiday
2017-10-20,Govardhan Puja,Restricted Holiday
2017-10-21,Bhai Duj,Restricted Holiday
2017-10-26,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2017-10-31,Halloween,Observance
2017-11-04,Guru Nanak Jayanti,Gazetted Holiday
2017-11-24,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2017-12-02,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2017-12-13,First Day of Hanukkah,Observance
2017-12-20,Last day of Hanukkah,Observance
2017-12-21,December Solstice,Season
2017-12-24,Christmas Eve,Restricted Holiday
2017-12-25,Christmas,Gazetted Holiday
2017-12-31,New Year's Eve,Observance
